tmdb_id,imdb_id,title,release_date,language,rating_tmdb,rating_imdb,votes_imdb,revenue,director,cast,release_year
466302,tt6764354,Islamic Exorcist,26-05-2017,hi,5,3.7,117,0,Faisal Saif,"Meera, Nirab Hossain, Kavita Radheshyam, Asif Basra",2017
466403,tt4786606,Asura,05-06-2015,te,6,6.4,288,0,Krishna Vijay,"Nara Rohith, Ravi Varma, Priya Banerjee, Sree Vishnu, Satyadev Kancharana",2015
466498,tt7111640,Vilayattu Aarambam,02-06-2017,ta,0,4,11,0,Vijay Anand,"Yuvan, Riyaz Khan, Shravya, Powerstar Srinivasan, Bhanuchander",2017
466501,tt6649794,Sunday Holiday,14-07-2017,ml,6.071,7.2,1734,2200000,Jis Joy,"Asif Ali, Aparna Balamurali, Sreenivasan, Lal Jose, Siddique",2017
466681,tt6326420,Marupadi,09-12-2016,ml,0,7.3,52,0,V M Vinu,"Bhama, Rahman, Nayanthara Chakravarthy, Santhosh Keezhattoor, Janardhanan",2016
466721,tt18556266,Cinema Veeran,22-06-2017,ta,0,7,11,0,Aishwarya Rajinikanth,Rajinikanth,2017
466846,tt6301256,Campus Diary,02-12-2016,ml,0,8.2,13,0,Jeevan Das,"Sudev Nair, Gauthami Nair, Suraj Venjaramoodu, V S  Achuthanandan, Joy Mathew",2016
466961,tt7146028,Maradona,27-07-2018,ml,6.25,6.2,802,0,Vishnu Narayanan,"Tovino Thomas, Saranya R Nair, Tito Wilson, Chemban Vinod Jose, Leona Lishoy",2018
466962,tt6198840,Kolumittayi,04-11-2016,ml,4,7.4,34,0,Arun Viswam,"Gourav Menon, Aakash Santhosh, Meenakshi Anoop, Saiju Kurup, Krishna Prabha",2016
466990,tt4339022,Uyarthiru 420,11-08-2011,ta,4.5,5.1,20,0,S. Premnath,"Snehan, Meghana Raj, Vaseegaran, Akshara Gowda, Jayaprakash",2011
467003,tt6697468,Varnyathil Aashanka,04-08-2017,ml,6.65,6.7,722,0,Sidharth Bharathan,"Suraj Venjaramoodu, Kunchacko Boban, Chemban Vinod Jose, Manikandan Achari, Shine Tom Chacko",2017
467106,tt6967980,Bareilly Ki Barfi,17-08-2017,hi,6.884,7.5,28462,8050806,Ashwiny Iyer Tiwari,"Kriti Sanon, Ayushmann Khurrana, Rajkummar Rao, Rohit Choudhary, Pankaj Tripathi",2017
467208,tt3609896,My Life Partner,06-06-2014,ml,0,8,35,0,M B Padmakumar,"Sudev Nair, Ameer Niyaz, Anusree Nair, Sukanya, Geetha Vijayan",2014
467373,tt6581440,Adam Joan,01-09-2017,ml,5.7,6.4,1949,0,Jinu Abraham,"Prithviraj Sukumaran, Mishti Chakravarty, Narain, Bhavana, Rahul Madhav",2017
467649,tt7159382,Fidaa,20-07-2017,te,7.4,7.4,6505,7000000,Sekhar Kammula,"Sai Pallavi, Varun Tej, Sai Chand, Saranya Pradeep, Raja Chembolu",2017
467911,tt3338188,Jia aur Jia,27-10-2017,hi,0,4.5,221,0,Howard Rosemeyer,"Kalki Koechlin, Richa Chadha",2017
468014,tt7160842,Mythily Veendum Varunnu...,21-07-2017,ml,3,2.4,62,0,Sabu Varghese,"Shivani Bhai, I. M. Vijayan, Udhay, Sandhanam, Rajkiran",2017
468016,tt6615708,Minnaminungu The Firefly,21-07-2017,ml,7.7,7.5,157,0,Anil Thomas,"Surabhi Lakshmi, Rebecca Santhosh, Krishnan Balakrishnan, Balu Narayanan, Prem Prakash",2017
468254,tt6582458,Baaraat Company,28-07-2017,hi,0,5,670,0,Unknown,"Anurita Jha, Sandeepa Dhar, Rajendra Sethi, Adarsh Kumar, Vishal Karwal",2017
468329,tt5465216,Mukunda Murari,28-10-2016,kn,10,7.2,525,0,Nanda Kishore,"Upendra, Sudeepa, P. Ravi Shankar, Kavya Shah",2016
468469,tt6102396,Kaalakaandi,12-01-2018,hi,6.317,6.3,3561,0,Akshat Verma,"Saif Ali Khan, Akshay Oberoi, Isha Talwar, Sobhita Dhulipala, Kunaal Roy Kapur",2018
468652,tt2554042,Maazii,27-09-2013,hi,0,4.9,131,0,Jaideep Chopra,"Mohammed Zeeshan Ayyub, Ashok Banthia, Devender Chaudhary, Sumeet Nijhawan, Manish Chaudhary",2013
468667,tt6640006,Kadam Kadha,28-07-2017,ml,5.8,5.5,107,0,Senthil Rajan,"Joju George, Renji Panicker, Roshan Mathew, Veena Nandakumar, Vinay Forrt",2017
468799,tt8060540,Dandupalya 3,02-02-2018,kn,0,6.1,87,0,Srinivasa Raju,"Pooja Gandhi, Makrand Deshpande, P. Ravi Shankar, Ravi Kale, Sanjjanaa Galrani",2018
468813,tt5937870,My Father Iqbal,21-10-2016,hi,6,8,19,0,Suzad Iqbal Khan,"Narendra Jha, Komal Thacker",2016
468848,tt6096884,Njandukalude Naattil Oridavela,01-09-2017,ml,6.8,7.1,3741,0,Althaf Salim,"Nivin Pauly, Shanthi Krishna, Lal, Aishwarya Lekshmi, Ahaana Krishna",2017
468853,tt3116888,...Re,04-03-2016,kn,6.8,6.2,57,0,Sunil Kumar Desai,"Ramesh Aravind, Harshika Poonacha, Anant Nag",2016
469149,tt6932748,Mannamkattayum Kariyilayum,18-08-2017,ml,0,8.6,13,0,Arun Sagara,"Shine Tom Chacko, Srindaa, Saiju Kurup, Jobi A S, Sudheer Karamana",2017
469240,tt7143554,Sigai,09-01-2019,ta,5.7,6.4,144,0,Jagadeesan Subu,"Kathir, Riythvika, Mayilsamy, Bharat Raj, Meera Nair",2019
469544,tt6747192,Kaattu,13-10-2017,ml,6,6.8,238,0,Arun Kumar Aravind,"Murali Gopy, Asif Ali, Varalaxmi Sarathkumar, Unni Rajan P Dev, Manasa Radhakrishnan",2017
469872,tt5613834,A Gentleman,25-08-2017,hi,6.2,6.3,7993,0,Raj Nidimoru,"Sidharth Malhotra, Jacqueline Fernandez, Suniel Shetty, Darshan Kumaar, Kushal Punjabi",2017
469881,tt6703782,Chitrangada,03-10-2017,te,10,4.3,62,0,Ashok G.,"Anjali, Sakshi Gulati",2017
470317,tt6212984,Parava,21-09-2017,ml,7.8,8,5084,0,Soubin Shahir,"Amal Shah, Govind V Pai, Shane Nigam, Dulquer Salmaan, Siddique",2017
470433,tt6277824,Poomaram,15-03-2018,ml,6.6,6.6,832,252900,Abrid Shine,"Kalidas Jayaram, Neeta Pillai, Architha Anish, Joju George, Jayaraman Siva Menon",2018
470443,tt6774106,Pullikaran Stara,01-09-2017,ml,4.9,5.1,1349,0,Syamdhar,"Mammootty, Deepti Sati, Asha Sarath, Dileesh Pothan, Innocent",2017
470642,tt6354784,The Hungry,01-09-2017,hi,5.7,7,1437,0,Bornila Chatterjee,"Naseeruddin Shah, Tisca Chopra, Neeraj Kabi, Arjun Gupta, Sayani Gupta",2017
471210,tt1674068,I Am,20-04-2011,hi,1,7.4,41,0,Sonali Gulati,Unknown,2011
471343,tt6892468,Shreelancer,18-08-2017,hi,10,6.7,134,0,Sandeep Mohan,"Arjun Radhakrishnan, Falah Faisal, Karanveer, Salmin Sheriff",2017
471364,tt3209826,Patel Ki Punjabi Shaadi,15-09-2017,hi,6.5,4,425,0,Unknown,"Paresh Rawal, Rishi Kapoor, Payal Ghosh, Prem Chopra, Vir Das",2017
471469,tt7277680,Anando Brahma,18-08-2017,te,6.636,6.9,5361,0,Mahi V. Raghav,"Srinivasa Reddy, Vennela Kishore, Shakalaka Shankar, Thagubothu Ramesh, Taapsee Pannu",2017
471754,tt6921302,Punyalan Private Limited,17-11-2017,ml,6.6,6.2,822,0,Ranjith Sankar,"Jayasurya, Vijayaraghavan, Sreejith Ravi, Dharmajan Bolgatty, Gokulan",2017
471892,tt6971752,Shubh Mangal Saavdhan,31-08-2017,hi,6.506,6.9,12172,8838757,R. S. Prasanna,"Ayushmann Khurrana, Bhumi Pednekar, Seema Pahwa, Brijendra Kala, Neeraj Sood",2017
472123,tt1806913,Golmaal Again,20-10-2017,hi,5.4,5,13257,37000000,Rohit Shetty,"Ajay Devgn, Arshad Warsi, Tusshar Kapoor, Shreyas Talpade, Kunal Khemu",2017
472221,tt5525650,The Goat Life,28-03-2024,ml,7.263,7.1,49966,19000000,Blessy,"Prithviraj Sukumaran, K R  Gokul, Jimmy Jean-Louis, Talib Al Balushi, Rik Aby",2024
472470,tt5617172,Qaidi Band,25-08-2017,hi,6,6,558,0,Habib Faisal,"Aadar Jain, Anya Singh, Ram Kapoor, Mikhail Yawalkar, Anna Ador",2017
472471,tt7291466,Sniff!!!,25-08-2017,hi,7.8,5.3,185,0,Amole Gupte,"Parshva Dhariwal, Khushmeet Gill, Suresh Menon, Sushmita Mukherjee, Surekha Sikri",2017
472474,tt6720298,Muskurahatein,25-08-2017,hi,5,2.8,1163,0,Dr. J.S. Randhawa,"Dr. J.S. Randhawa, Sonal Mudgal, Sanjay Mishra, Shyam Mashalkar, Ankit Hans",2017
472663,tt0924232,Kanaka Simhasanam,29-12-2006,ml,3.6,3.1,166,0,Rajasenan,"Jayaram, Karthika Mathew, Lakshmi Gopalaswamy, Suraj Venjaramoodu, Janardhanan",2006
472798,tt0972762,Anchil Oral Arjunan,27-01-2007,ml,3,3.3,70,0,Anil Kumar,"Jayaram, Padmapriya Janakiraman, Samvrutha Sunil, Sreenivasan, Siddique",2007
473014,tt5784860,Aksar 2,17-11-2017,hi,4,3.6,513,0,Ananth Narayan Mahadevan,"Zareen Khan, Gautam Rode, Lillete Dubey, Abhinav Shukla, S. Sreesanth",2017
473032,tt1639312,24 Hrs,04-06-2010,ml,0,6.6,38,0,Aditya Sam Abraham,"Komal Jha, Manoj K Jayan, Jagathy Sreekumar, Devan",2010
